RANK,Country,Happiness Score,GDP ,Social Support,Life Expectancy,Freedom 
58,Greece,5.948,1.703,0.98,0.774,0.249
59,South Korea,5.935,1.851,0.886,0.841,0.414
60,Philippines,5.904,1.268,0.912,0.514,0.678
61,Thailand,5.891,1.535,1.096,0.697,0.617
62,Moldova,5.857,1.417,1.008,0.597,0.561
63,Jamaica,5.85,1.296,1.045,0.646,0.567
64,Kyrgyzstan,5.828,1.069,1.109,0.638,0.693
65,Belarus*,5.821,1.562,1.157,0.629,0.342
66,Colombia,5.781,1.452,0.929,0.72,0.545
67,Bosnia and Herzegovina,5.768,1.468,1.068,0.665,0.448
68,Mongolia,5.761,1.393,1.197,0.467,0.398
69,Dominican Republic,5.737,1.538,1.003,0.577,0.606
70,Malaysia,5.711,1.689,0.938,0.62,0.654
71,Bolivia,5.6,1.256,0.88,0.555,0.627
72,China,5.585,1.508,0.958,0.705,0.656
73,Paraguay,5.578,1.409,1.13,0.624,0.629
74,Peru,5.559,1.397,0.865,0.735,0.545
75,Montenegro,5.547,1.573,1.023,0.659,0.46
76,Ecuador,5.533,1.352,0.879,0.708,0.565
77,Vietnam,5.485,1.252,0.932,0.611,0.707
78,Turkmenistan*,5.474,1.484,1.319,0.516,0.649
79,North Cyprus*,5.467,1.815,0.888,0.819,0.523
80,Russia,5.459,1.685,1.095,0.586,0.401
81,Hong Kong S.A.R. of China,5.425,1.957,0.954,0.942,0.4
82,Armenia,5.399,1.434,0.82,0.668,0.558
83,Tajikistan,5.377,0.966,1.005,0.518,0.572
84,Nepal,5.377,0.984,0.784,0.499,0.519
85,Bulgaria,5.371,1.625,1.163,0.64,0.563
86,Libya*,5.33,1.476,0.943,0.606,0.477
87,Indonesia,5.24,1.382,0.883,0.539,0.62
88,Ivory Coast,5.235,1.094,0.442,0.322,0.451
89,North Macedonia,5.199,1.505,0.863,0.637,0.488
90,Albania,5.199,1.439,0.646,0.719,0.511
91,South Africa,5.194,1.425,1.088,0.361,0.442
92,Azerbaijan*,5.173,1.458,1.093,0.56,0.601
93,Gambia*,5.164,0.785,0.621,0.369,0.367
94,Bangladesh,5.155,1.06,0.614,0.581,0.622
95,Laos,5.14,1.239,0.654,0.479,0.679
96,Algeria,5.122,1.363,0.97,0.643,0.146
97,Liberia*,5.122,0.636,0.67,0.309,0.405
98,Ukraine,5.084,1.411,1.081,0.583,0.473
99,Congo,5.075,0.95,0.405,0.355,0.431
100,Morocco,5.06,1.208,0.268,0.565,0.492
101,Mozambique,5.048,0.578,0.66,0.191,0.593
102,Cameroon,5.048,0.968,0.672,0.317,0.397
103,Senegal,5.046,0.933,0.53,0.447,0.494
104,Niger*,5.003,0.57,0.56,0.326,0.571
105,Georgia,4.973,1.467,0.612,0.595,0.508
106,Gabon,4.958,1.459,0.738,0.396,0.343
107,Iraq,4.941,1.289,0.682,0.554,0.328
108,Venezuela,4.925,0,0.968,0.578,0.283
109,Guinea,4.891,0.848,0.566,0.275,0.334
110,Iran,4.888,1.41,0.741,0.642,0.281
111,Ghana,4.872,1.112,0.595,0.409,0.5
112,Turkey,4.744,1.707,0.865,0.702,0.209
113,Burkina Faso,4.67,0.779,0.565,0.32,0.382
114,Cambodia,4.64,1.019,0.732,0.505,0.74
115,Benin,4.623,0.932,0.064,0.335,0.479
116,Comoros*,4.609,0.899,0.476,0.424,0.185
117,Uganda,4.603,0.777,0.875,0.418,0.402
118,Nigeria,4.552,1.079,0.732,0.3,0.444
119,Kenya,4.543,1.032,0.605,0.401,0.44
120,Tunisia,4.516,1.35,0.596,0.656,0.316
121,Pakistan,4.516,1.049,0.413,0.374,0.448
122,Palestinian Territories*,4.483,1.148,0.957,0.521,0.336
123,Mali,4.479,0.792,0.483,0.311,0.35
124,Namibia,4.459,1.292,0.877,0.354,0.384
125,"Eswatini, Kingdom of*",4.396,1.274,0.786,0.197,0.259
126,Myanmar,4.394,1.038,0.829,0.491,0.513
127,Sri Lanka,4.362,1.415,0.934,0.66,0.529
128,Madagascar*,4.339,0.67,0.645,0.378,0.202
129,Egypt,4.288,1.388,0.732,0.548,0.469
130,Chad*,4.251,0.662,0.506,0.225,0.18
131,Ethiopia,4.241,0.788,0.809,0.457,0.472
132,Yemen*,4.197,0.691,1.043,0.384,0.33
133,Mauritania*,4.153,1.1,0.865,0.45,0.304
134,Jordan,4.152,1.324,0.724,0.675,0.476
135,Togo,4.112,0.771,0.322,0.36,0.292
136,India,3.777,1.167,0.376,0.471,0.647
137,Zambia,3.76,0.93,0.577,0.306,0.525
138,Malawi,3.75,0.648,0.279,0.388,0.477
139,Tanzania,3.702,0.848,0.597,0.425,0.578
140,Sierra Leone,3.574,0.686,0.416,0.273,0.387
141,Lesotho*,3.512,0.839,0.848,0,0.419
142,Botswana*,3.471,1.503,0.815,0.28,0.571
143,Rwanda*,3.268,0.785,0.133,0.462,0.621
144,Zimbabwe,2.995,0.947,0.69,0.27,0.329
145,Lebanon,2.955,1.392,0.498,0.631,0.103
146,Afghanistan,2.404,0.758,0,0.289,0
